"country","hhid","grappe","menage","vague","logem","mur","toit","sol","eauboi_ss","eauboi_sp","elec_ac","elec_ur","elec_ua","ordure","toilet","eva_toi","eva_eau","year","tv","fer","frigo","cuisin","ordin","decod","car","superf","grosrum","petitrum","porc","lapin","volail","sh_id_demo","sh_co_natu","sh_co_eco","sh_id_eco","sh_co_vio","sh_co_oth"
"BEN",6033,6,33,2,2,0,1,0,1,1,0,0,1,0,0,0,0,2021,0,0,0,0,0,0,0,11.9176098108292,6,2,0,0,0,0,0,0,0,0,0
"BEN",6042,6,42,2,2,1,1,1,1,1,0,0,1,1,0,0,0,2021,0,0,0,0,0,0,0,10.0122995376587,9,5,0,0,0,0,0,1,0,0,0
"BEN",6052,6,52,2,2,1,1,1,0,0,0,0,1,1,0,1,1,2021,0,0,0,0,0,0,0,7.78900003433228,10,5,0,0,0,0,1,1,0,0,0
"BEN",6071,6,71,2,2,1,1,1,1,1,0,0,1,0,0,0,0,2021,0,0,0,0,0,0,0,4.34999996423721,3,6,0,0,0,1,0,1,0,0,0
"BEN",6081,6,81,2,2,0,1,0,1,1,0,0,1,0,0,0,0,2021,0,0,0,0,0,0,0,15.1031877994537,17,9,0,0,7,0,0,0,0,0,0
"BEN",6090,6,90,2,2,0,1,1,1,1,0,0,0,0,0,0,0,2021,0,0,0,0,0,0,0,15.42999958992,6,23,0,0,0,0,1,1,0,0,0
"BEN",6109,6,109,2,2,0,1,1,1,1,0,0,0,0,0,0,0,2021,0,0,0,0,0,0,0,2.84000006318092,0,9,0,0,5,0,1,1,0,0,0
"BEN",6119,6,119,2,2,0,1,0,0,0,0,0,1,0,0,0,0,2021,0,0,0,0,0,0,0,1.99630796909332,0,10,0,0,0,1,0,0,0,0,0
"BEN",6128,6,128,2,2,0,1,1,0,0,0,0,0,0,0,0,0,2021,0,0,0,0,0,0,0,16.1799998283386,2,16,0,0,22,0,0,1,0,0,0
"BEN",6148,6,148,2,2,1,1,0,0,0,0,0,1,0,0,0,0,2021,0,0,0,0,0,0,0,11.335538059473,10,25,0,0,58,0,0,0,0,0,0
